Address;USB0::0x0957::0x1724::MY45003122::0::INSTR;
Model;DSO6014A;
Serial Number:;MY45003122;
Firmware Version;06.20.0000;
Start Time;2017-08-17 21:39:37.876;
Stop Time;2017-08-17 22:32:24.377;
Sample Period;0,5;
;;
Time (s);RMS(1) ();RMS(2) ()
2017-08-17 21:42:56.376;222,6;0,1816
2017-08-17 21:42:56.876;223;0,1806
2017-08-17 21:42:57.376;222,8;0,1815
2017-08-17 21:42:57.876;222,7;0,1798
2017-08-17 21:42:58.376;222,7;0,1811
2017-08-17 21:42:58.876;222,8;0,1799
2017-08-17 21:42:59.376;222,8;0,181
2017-08-17 21:42:59.876;222,7;0,1818
2017-08-17 21:43:00.376;222,7;0,1819
2017-08-17 21:43:00.876;222,4;0,181
2017-08-17 21:43:01.376;222,6;0,1805
2017-08-17 21:43:01.876;222,8;0,1805
2017-08-17 21:43:02.376;222,8;0,1811
2017-08-17 21:43:02.876;222,8;0,1825
2017-08-17 21:43:03.376;222,9;0,1823
2017-08-17 21:43:03.876;222,6;0,1809
2017-08-17 21:43:04.376;222,7;0,1806
2017-08-17 21:43:04.876;223;0,1821
2017-08-17 21:43:05.377;222,6;0,1823
2017-08-17 21:43:05.877;223;0,1812
2017-08-17 21:43:06.376;222,9;0,181
2017-08-17 21:43:06.877;223;0,179
2017-08-17 21:43:07.376;222,7;0,1817
2017-08-17 21:43:07.876;222,9;0,1814
2017-08-17 21:43:08.377;222,7;0,1814
2017-08-17 21:43:08.877;222,9;0,1811
2017-08-17 21:43:09.377;222,8;0,1807
2017-08-17 21:43:09.877;222,9;0,1824
2017-08-17 21:43:10.376;222,6;0,1807
2017-08-17 21:43:10.876;222,5;0,2177
2017-08-17 21:43:11.377;222,7;0,2673
2017-08-17 21:43:11.877;222,9;0,1969
2017-08-17 21:43:12.377;222,6;0,1874
2017-08-17 21:43:12.878;222,6;0,1885
2017-08-17 21:43:13.376;222,8;0,1896
2017-08-17 21:43:13.876;222,3;0,1884
2017-08-17 21:43:14.376;222,8;0,1886
2017-08-17 21:43:14.876;222,7;0,1942
2017-08-17 21:43:15.376;222,7;0,1889
2017-08-17 21:43:15.876;222,8;0,1891
2017-08-17 21:43:16.376;222,5;0,188
2017-08-17 21:43:16.876;222,6;0,1904
2017-08-17 21:43:17.376;222,8;0,1903
2017-08-17 21:43:17.876;222,6;0,1919
2017-08-17 21:43:18.377;222,8;0,1884
2017-08-17 21:43:18.878;222,5;0,1887
2017-08-17 21:43:19.376;222,6;0,1884
2017-08-17 21:43:19.876;222,7;0,1896
2017-08-17 21:43:20.376;222,4;0,1882
2017-08-17 21:43:20.876;222,8;0,1866
2017-08-17 21:43:21.376;222,5;0,1895
2017-08-17 21:43:21.876;223,2;0,1885
2017-08-17 21:43:22.376;222,7;0,1898
2017-08-17 21:43:22.876;222,7;0,1891
2017-08-17 21:43:23.376;222,6;0,1882
2017-08-17 21:43:23.877;222,4;0,1882
2017-08-17 21:43:24.377;222,6;0,1896
2017-08-17 21:43:24.877;222,6;0,1885
2017-08-17 21:43:25.376;222,8;0,1874
2017-08-17 21:43:25.877;222,6;0,1879
2017-08-17 21:43:26.377;222,6;0,188
2017-08-17 21:43:26.877;222,7;0,1882
2017-08-17 21:43:27.377;222,8;0,1875
2017-08-17 21:43:27.877;222,6;0,1892
2017-08-17 21:43:28.377;222,9;0,1882
2017-08-17 21:43:28.877;222,7;0,1894
2017-08-17 21:43:29.376;222,7;0,1873
2017-08-17 21:43:29.876;222,7;0,1864
2017-08-17 21:43:30.376;222,7;0,1885
2017-08-17 21:43:30.876;222,5;0,1874
2017-08-17 21:43:31.376;222,6;0,19
