operation;reqsize;cache;repetition;measurement;power_cpu;power_ram
randwrite;32;0;1;28;42.3;4.54
randwrite;32;0;1;29;42.7;4.56
randwrite;32;0;1;30;41.8;4.55
randwrite;32;0;1;31;39.9;4.55
randwrite;32;0;1;32;40.6;4.54
randwrite;32;0;1;33;40.5;4.55
randwrite;32;0;1;34;41.3;4.59
randwrite;32;0;1;35;40.4;4.57
randwrite;32;0;1;36;41.4;4.57
randwrite;32;0;1;37;41.3;4.53
randwrite;32;0;1;38;41.4;4.55
randwrite;32;0;1;39;40.7;4.58
randwrite;32;0;1;40;41.0;4.55
randwrite;32;0;1;41;40.3;4.6
randwrite;32;0;1;42;40.3;4.59
randwrite;32;0;1;43;41.5;4.58
randwrite;32;0;1;44;41.8;4.55
randwrite;32;0;1;45;40.1;4.57
randwrite;32;0;1;46;40.3;4.58
randwrite;32;0;1;47;40.1;4.57
randwrite;32;0;1;48;40.4;4.55
randwrite;32;0;1;49;41.1;4.52
randwrite;32;0;1;50;40.0;4.56
randwrite;32;0;1;51;39.7;4.54
randwrite;32;0;1;52;39.6;4.54
randwrite;32;0;1;53;40.8;4.55
randwrite;32;0;1;54;40.4;4.56
randwrite;32;0;1;55;40.6;4.52
randwrite;32;0;1;56;41.1;4.54
randwrite;32;0;1;57;41.1;4.54
randwrite;32;0;1;58;42.4;4.56
randwrite;32;0;1;59;41.5;4.55
randwrite;32;0;2;0;44.5;4.8
randwrite;32;0;2;1;43.0;4.54
randwrite;32;0;2;2;43.4;4.65
randwrite;32;0;2;3;44.4;4.56
randwrite;32;0;2;4;43.2;4.74
randwrite;32;0;2;5;43.9;4.56
randwrite;32;0;2;6;43.8;4.55
randwrite;32;0;2;7;43.2;4.8
randwrite;32;0;2;8;43.3;4.57
randwrite;32;0;2;9;43.3;4.85
randwrite;32;0;2;10;44.7;4.55
randwrite;32;0;2;11;45.0;4.55
randwrite;32;0;2;12;45.6;4.91
randwrite;32;0;2;13;43.6;4.56
randwrite;32;0;2;14;43.3;4.57
randwrite;32;0;2;15;44.2;4.53
randwrite;32;0;2;16;43.2;4.57
randwrite;32;0;2;17;43.2;4.55
randwrite;32;0;2;18;43.1;4.56
randwrite;32;0;2;19;43.8;4.56
randwrite;32;0;2;20;44.5;4.54
randwrite;32;0;2;21;44.3;4.55
randwrite;32;0;2;22;43.2;4.54
randwrite;32;0;2;23;43.2;4.56
randwrite;32;0;2;24;44.3;4.54
randwrite;32;0;2;25;45.0;4.57
randwrite;32;0;2;26;43.8;4.54
randwrite;32;0;2;27;43.7;4.54
randwrite;32;0;2;28;43.3;4.53
randwrite;32;0;2;29;45.0;4.55
