operation;reqsize;cache;repetition;measurement;power_cpu;power_ram
randwrite;32;0;2;48;39.8;4.55
randwrite;32;0;2;49;39.6;4.56
randwrite;32;0;2;50;36.7;4.58
randwrite;32;0;2;51;36.7;4.56
randwrite;32;0;2;52;36.0;4.55
randwrite;32;0;2;53;36.5;4.56
randwrite;32;0;2;54;37.0;4.56
randwrite;32;0;2;55;36.6;4.54
randwrite;32;0;2;56;38.0;4.54
randwrite;32;0;2;57;37.2;4.54
randwrite;32;0;2;58;37.6;4.54
randwrite;32;0;2;59;36.6;4.57
randwrite;32;0;3;0;36.0;4.49
randwrite;32;0;3;1;36.1;4.11
randwrite;32;0;3;2;34.9;4.18
randwrite;32;0;3;3;35.3;4.14
randwrite;32;0;3;4;35.5;4.05
randwrite;32;0;3;5;36.2;4.12
randwrite;32;0;3;6;35.5;4.19
randwrite;32;0;3;7;35.8;4.25
randwrite;32;0;3;8;36.0;4.18
randwrite;32;0;3;9;36.1;4.21
randwrite;32;0;3;10;37.2;4.21
randwrite;32;0;3;11;35.8;4.18
randwrite;32;0;3;12;36.0;4.15
randwrite;32;0;3;13;35.7;4.11
randwrite;32;0;3;14;35.4;4.09
randwrite;32;0;3;15;35.9;4.09
randwrite;32;0;3;16;36.4;4.18
randwrite;32;0;3;17;34.8;4.2
randwrite;32;0;3;18;37.0;4.24
randwrite;32;0;3;19;36.2;4.34
randwrite;32;0;3;20;35.6;4.27
randwrite;32;0;3;21;35.8;4.26
randwrite;32;0;3;22;35.8;4.26
randwrite;32;0;3;23;36.3;4.13
randwrite;32;0;3;24;35.8;4.12
randwrite;32;0;3;25;36.5;4.08
randwrite;32;0;3;26;35.5;4.2
randwrite;32;0;3;27;36.3;4.17
randwrite;32;0;3;28;35.8;4.09
randwrite;32;0;3;29;35.6;4.13
randwrite;32;0;3;30;37.1;4.18
randwrite;32;0;3;31;38.1;4.17
randwrite;32;0;3;32;37.6;4.27
randwrite;32;0;3;33;36.7;4.27
randwrite;32;0;3;34;36.1;4.2
randwrite;32;0;3;35;35.5;4.17
randwrite;32;0;3;36;36.3;4.24
randwrite;32;0;3;37;35.4;4.22
randwrite;32;0;3;38;35.6;4.14
randwrite;32;0;3;39;35.7;4.19
randwrite;32;0;3;40;35.8;4.18
randwrite;32;0;3;41;36.5;4.18
randwrite;32;0;3;42;35.4;4.16
randwrite;32;0;3;43;35.8;4.15
randwrite;32;0;3;44;36.3;4.06
randwrite;32;0;3;45;35.5;4.14
randwrite;32;0;3;46;36.6;4.11
randwrite;32;0;3;47;36.4;4.05
randwrite;32;0;3;48;35.8;4.12
randwrite;32;0;3;49;36.2;4.14
randwrite;32;0;3;50;37.2;4.14
randwrite;32;0;3;51;36.4;4.11
randwrite;32;0;3;52;36.7;4.16
randwrite;32;0;3;53;36.1;4.15
randwrite;32;0;3;54;36.7;4.14
randwrite;32;0;3;55;35.4;4.22
randwrite;32;0;3;56;35.8;4.1
randwrite;32;0;3;57;36.3;4.16
randwrite;32;0;3;58;36.7;4.15
randwrite;32;0;3;59;35.6;4.11
randwrite;32;0;4;0;36.7;4.66
randwrite;32;0;4;1;37.1;4.58
