equipment;device;operation;reqsize;cache;repetition;measurement;rms1;rms2
PC;SSD2;write;32;0;5;58;221.7;0.2479
PC;SSD2;write;32;0;5;59;221.7;0.2512
PC;SSD2;write;32;0;5;60;221.3;0.2206
PC;SSD2;write;32;0;5;61;221.6;0.248
PC;SSD2;write;32;0;5;62;221.5;0.2461
PC;SSD2;write;32;0;5;63;221.5;0.249
PC;SSD2;write;32;0;5;64;221.7;0.2305
PC;SSD2;write;32;0;5;65;221.6;0.2045
PC;SSD2;write;32;0;5;66;221.5;0.2445
PC;SSD2;write;32;0;5;67;221.4;0.2473
PC;SSD2;write;32;0;5;68;221.5;0.2477
PC;SSD2;write;32;0;5;69;221.4;0.2451
PC;SSD2;write;32;0;5;70;221.6;0.1836
PC;SSD2;write;32;0;5;71;221.6;0.2482
PC;SSD2;write;32;0;5;72;221.7;0.2448
PC;SSD2;write;32;0;5;73;221.6;0.2361
PC;SSD2;write;32;0;5;74;221.4;0.2454
PC;SSD2;write;32;0;5;75;221.6;0.1895
PC;SSD2;write;32;0;5;76;221.5;0.2458
PC;SSD2;write;32;0;5;77;221.7;0.2473
PC;SSD2;write;32;0;5;78;221.7;0.2462
PC;SSD2;write;32;0;5;79;221.6;0.2492
PC;SSD2;write;32;0;5;80;221.7;0.183
PC;SSD2;write;32;0;5;81;221.8;0.2486
PC;SSD2;write;32;0;5;82;221.9;0.2425
PC;SSD2;write;32;0;5;83;221.7;0.2506
PC;SSD2;write;32;0;5;84;221.5;0.245
PC;SSD2;write;32;0;5;85;221.7;0.2531
PC;SSD2;write;32;0;5;86;221.6;0.2462
PC;SSD2;write;32;0;5;87;221.8;0.1943
PC;SSD2;write;32;0;5;88;221.6;0.2452
PC;SSD2;write;32;0;5;89;222.0;0.248
PC;SSD2;write;32;0;5;90;221.7;0.2542
PC;SSD2;write;32;0;5;91;221.7;0.2467
PC;SSD2;write;32;0;5;92;221.9;0.2625
PC;SSD2;write;32;0;5;93;221.7;0.2508
PC;SSD2;write;32;0;5;94;221.8;0.2458
PC;SSD2;write;32;0;5;95;221.6;0.2497
PC;SSD2;write;32;0;5;96;221.4;0.2464
PC;SSD2;write;32;0;5;97;221.6;0.1855
PC;SSD2;write;32;0;5;98;221.9;0.2454
PC;SSD2;write;32;0;5;99;221.7;0.245
PC;SSD2;write;32;0;5;100;221.5;0.2641
PC;SSD2;write;32;0;5;101;221.4;0.247
PC;SSD2;write;32;0;5;102;221.5;0.1819
PC;SSD2;write;32;0;5;103;221.8;0.2464
PC;SSD2;write;32;0;5;104;221.6;0.2462
PC;SSD2;write;32;0;5;105;221.7;0.2462
PC;SSD2;write;32;0;5;106;221.5;0.247
PC;SSD2;write;32;0;5;107;221.8;0.1855
PC;SSD2;write;32;0;5;108;221.4;0.2824
PC;SSD2;write;32;0;5;109;221.7;0.2314
PC;SSD2;write;32;0;5;110;221.8;0.2453
PC;SSD2;write;32;0;5;111;221.8;0.2465
PC;SSD2;write;32;0;5;112;221.8;0.2225
PC;SSD2;write;32;0;5;113;221.7;0.2523
PC;SSD2;write;32;0;5;114;221.6;0.2477
PC;SSD2;write;32;0;5;115;221.2;0.2494
PC;SSD2;write;32;0;5;116;221.6;0.2466
PC;SSD2;write;32;0;5;117;221.7;0.1849
PC;SSD2;write;32;0;5;118;221.8;0.2462
PC;SSD2;write;32;0;5;119;221.5;0.2448
PC;SSD2;write;32;0;5;120;221.4;0.2465
PC;SSD2;write;32;0;5;121;221.6;0.2167
PC;SSD2;read;32;0;5;0;221.8;0.1747
PC;SSD2;read;32;0;5;1;221.7;0.1742
PC;SSD2;read;32;0;5;2;221.8;0.1747
PC;SSD2;read;32;0;5;3;221.8;0.2263
PC;SSD2;read;32;0;5;4;221.6;0.2268
PC;SSD2;read;32;0;5;5;221.6;0.2255
PC;SSD2;read;32;0;5;6;221.8;0.2269
PC;SSD2;read;32;0;5;7;221.3;0.2123
